predicate,count
rdf:type,27075
owl:disjointWith,14610
rdfs:label,8607
obo:IAO_0000219,4136
obo:IAO_0000235,4136
ontology:NFDI_0001007,3057
obo:BFO_0000057,1699
obo:BFO_0000056,1699
ontology:NFDI_0001008,1179
dcterms:creator,1168
dcterms:created,1163
obo:BFO_0000197,809
obo:BFO_0000196,809
obo:BFO_0000054,785
obo:BFO_0000055,785
ontology:NFDI_0000226,774
obo:IAO_0000136,774
<https://w3id.org/pmd/co/PMD_0000004>,744
obo:BFO_0000178,434
obo:BFO_0000176,434
rdfs:subClassOf,432
obo:BFO_0000199,430
ontology:NFDI_0000211,402
ontology:NFDI_0000212,402
rdfs:comment,377
ontology:NFDI_0000204,351
ontology:NFDI_0000205,351
ontology:NFDI_0000240,280
ontology:NFDI_0000241,280
rdf:rest,269
rdf:first,269
ontology:NFDI_0000192,236
ontology:NFDI_0000191,236
ontology:NFDI_0001003,218
ontology:NFDI_0001006,218
ontology:NFDI_0000142,191
ontology:NFDI_0000143,191
skos:example,146
rdfs:isDefinedBy,145
obo:BFO_0000059,140
obo:BFO_0000058,140
rdfs:subPropertyOf,138
skos:definition,138
obo:BFO_0000194,135
obo:BFO_0000195,135
ontology:NFDI_0001027,121
owl:onProperty,121
ontology:NFDI_0001028,121
ontology:NFDI_0010015,115
owl:inverseOf,112
obo:IAO_0000117,110
ontology:NFDI_0000188,102
ontology:NFDI_0000187,102
obo:IAO_0000112,95
obo:IAO_0000119,92
ontology:NFDI_0000133,90
ontology:NFDI_0000132,90
ontology:NFDI_0000216,86
obo:IAO_0000116,86
owl:someValuesFrom,86
ontology:NFDI_0000217,86
obo:IAO_0000115,85
ontology:NFDI_0000152,84
ontology:NFDI_0001024,84
obo:BFO_0000171,82
obo:BFO_0000124,82
obo:IAO_0000111,81
rdfs:range,77
dcat:downloadURL,77
dce:identifier,76
owl:intersectionOf,71
ontology:NFDI_0000153,69
ontology:NFDI_0001023,69
rdfs:domain,62
skos:editorialNote,62
label:en,56
obo:IAO_0000114,48
obo:IAO_0000118,44
owl:annotatedSource,40
owl:annotatedTarget,40
owl:annotatedProperty,40
obo:IAO_0010000,40
owl:allValuesFrom,34
skos:scopeNote,32
rdfs:seeAlso,27
oboInOwl:inSubset,26
owl:unionOf,24
label:de,24
ontology:NFDI_0000182,24
owl:equivalentClass,23
ontology:NFDI_0000208,22
ontology:NFDI_0000207,22
obo:BFO_0000062,20
obo:IAO_0000233,20
obo:BFO_0000063,20
ontology:NFDI_0000194,20
obo:IAO_0000602,18
ontology:NFDI_0000012,16
oboInOwl:hasDefinition,15
owl:complementOf,13
mwo:MWO_0001117,12
mwo:MWO_0001116,12
obo:IAO_0000600,11
edamontology:created_in,11
obo:BFO_0000179,10
obo:BFO_0000221,10
skos:altLabel,10
obo:BFO_0000180,10
obo:BFO_0000222,10
dcterms:contributor,8
obo:IAO_0000601,8
owl:oneOf,7
ontology:NFDI_0010013,6
dce:contributor,5
owl:members,5
edamontology:file_extension,5
obo:IAO_0000412,4
obo:is_metadata_tag,4
obo:IAO_0000417,4
obo:IAO_0000221,4
oboInOwl:hasExactSynonym,3
oboInOwl:hasRelatedSynonym,3
oboInOwl:hasDbXref,3
obo:IAO_0000232,3
edamontology:documentation,2
oboInOwl:hasNarrowSynonym,2
owl:deprecated,2
owl:onClass,1
obo:BFO_0000223,1
obo:BFO_0000224,1
owl:versionInfo,1
owl:minQualifiedCardinality,1
obo:IAO_0000234,1
dcterms:description,1
owl:priorVersion,1
owl:versionIRI,1
dcterms:title,1
dcterms:bibliographicCitation,1
dcterms:license,1
edamontology:media_type,1
