type,count
rdfs:Resource,22067
obo:BFO_0000001,10101
owl:Thing,10101
owl:NamedIndividual,9805
obo:BFO_0000002,8652
<n136d58456b9046fc86f1a656428d7bb2b638>,8652
obo:BFO_0000031,6859
obo:IAO_0000030,6829
<n136d58456b9046fc86f1a656428d7bb2b637>,6829
obo:IAO_0000300,2483
ontology:NFDI_0000001,1691
obo:BFO_0000003,1363
ontology:NFDI_0000008,1355
<n136d58456b9046fc86f1a656428d7bb2b500>,1355
ontology:NFDI_0000223,1049
<n136d58456b9046fc86f1a656428d7bb2b632>,1049
xsd:anyURI,1046
rdfs:Literal,1046
<n136d58456b9046fc86f1a656428d7bb2b499>,988
obo:BFO_0000004,988
obo:BFO_0000015,927
<n136d58456b9046fc86f1a656428d7bb2b529>,927
<n136d58456b9046fc86f1a656428d7bb2b533>,927
<n136d58456b9046fc86f1a656428d7bb2b534>,927
ontology:NFDI_0000102,847
<n136d58456b9046fc86f1a656428d7bb2b627>,847
obo:IAO_0000590,845
obo:BFO_0000020,805
obo:BFO_0000017,801
obo:BFO_0000023,801
<n136d58456b9046fc86f1a656428d7bb2b360>,784
ontology:NFDI_0000229,775
<n136d58456b9046fc86f1a656428d7bb2b619>,775
ontology:NFDI_0000015,759
<n136d58456b9046fc86f1a656428d7bb2b369>,748
<n136d58456b9046fc86f1a656428d7bb2b329>,679
<n136d58456b9046fc86f1a656428d7bb2b277>,679
<n136d58456b9046fc86f1a656428d7bb2b334>,667
<n136d58456b9046fc86f1a656428d7bb2b195>,667
obo:IAO_0000429,633
obo:IAO_0000033,546
<n136d58456b9046fc86f1a656428d7bb2b510>,546
ontology:NFDI_0001018,466
ontology:NFDI_0000022,466
obo:IAO_0000578,439
<n136d58456b9046fc86f1a656428d7bb2b457>,439
<n136d58456b9046fc86f1a656428d7bb2b458>,439
obo:BFO_0000008,436
<n136d58456b9046fc86f1a656428d7bb2b614>,436
<n136d58456b9046fc86f1a656428d7bb2b613>,436
<n136d58456b9046fc86f1a656428d7bb2b203>,430
ontology:NFDI_0001019,368
obo:IAO_0000027,364
ontology:NFDI_0000111,316
ontology:NFDI_0000114,316
obo:IAO_0000104,299
<n136d58456b9046fc86f1a656428d7bb2b420>,299
<n136d58456b9046fc86f1a656428d7bb2b421>,299
ontology:NFDI_0000014,258
obo:BFO_0000141,241
obo:IAO_0000305,236
<n136d58456b9046fc86f1a656428d7bb2b87>,236
ontology:NFDI_0000190,236
ontology:NFDI_0000193,236
<n136d58456b9046fc86f1a656428d7bb2b623>,236
ontology:NFDI_0001000,225
<n136d58456b9046fc86f1a656428d7bb2b615>,225
ontology:NFDI_0000198,213
<n136d58456b9046fc86f1a656428d7bb2b468>,213
ontology:NFDI_0000123,204
obo:BFO_0000038,173
<n136d58456b9046fc86f1a656428d7bb2b608>,173
<n136d58456b9046fc86f1a656428d7bb2b612>,173
ontology:NFDI_0001037,172
obo:IAO_0000605,166
<n136d58456b9046fc86f1a656428d7bb2b258>,156
ontology:NFDI_0001026,151
<n136d58456b9046fc86f1a656428d7bb2b1>,151
<n136d58456b9046fc86f1a656428d7bb2b521>,148
obo:BFO_0000040,148
<n136d58456b9046fc86f1a656428d7bb2b520>,148
ontology:NFDI_0000018,148
<n136d58456b9046fc86f1a656428d7bb2b563>,148
ontology:NFDI_0000131,148
ontology:NFDI_0000030,139
ontology:NFDI_0000141,138
ontology:NFDI_0000003,131
<n136d58456b9046fc86f1a656428d7bb2b571>,131
obo:BFO_0000030,128
ontology:NFDI_0000100,123
ontology:NFDI_0001029,122
ontology:NFDI_0000023,122
ns2:MWO_0001113,122
owl:Restriction,121
ontology:NFDI_0000004,117
<n136d58456b9046fc86f1a656428d7bb2b604>,117
obo:IAO_0000028,108
obo:IAO_0020016,105
obo:IAO_0000129,92
obo:IAO_0020017,90
ontology:NFDI_0000232,90
<n136d58456b9046fc86f1a656428d7bb2b599>,90
ontology:NFDI_0000002,90
ontology:NFDI_0001030,86
obo:IAO_0000098,80
obo:IAO_0000303,75
obo:IAO_0000708,63
ontology:NFDI_0000027,62
<n136d58456b9046fc86f1a656428d7bb2b516>,62
edamontology:format_2376,62
ontology:NFDI_0001034,62
ontology:NFDI_0000009,61
<http://www.ebi.ac.uk/swo/SWO_0000002>,61
ns2:MWO_0001002,60
ontology:NFDI_0000118,59
<n136d58456b9046fc86f1a656428d7bb2b583>,59
<n136d58456b9046fc86f1a656428d7bb2b584>,59
<n136d58456b9046fc86f1a656428d7bb2b112>,58
<n136d58456b9046fc86f1a656428d7bb2b477>,54
ontology:NFDI_0000006,54
ontology:NFDI_0001022,53
ontology:NFDI_0000026,48
ontology:NFDI_0001025,48
ns2:MWO_0001022,46
<n136d58456b9046fc86f1a656428d7bb2b444>,46
ontology:NFDI_0001039,46
ontology:NFDI_0000203,45
<n136d58456b9046fc86f1a656428d7bb2b452>,45
<n136d58456b9046fc86f1a656428d7bb2b263>,43
ontology:NFDI_0010020,43
owl:Axiom,40
ontology:NFDI_0000215,40
edamontology:format_3255,40
ontology:NFDI_0000101,37
<n136d58456b9046fc86f1a656428d7bb2b559>,37
ontology:NFDI_0000244,33
obo:IAO_0000005,30
ontology:NFDI_0001053,30
<https://w3id.org/pmd/co/PMD_0020098>,30
ontology:NFDI_0000228,26
<n136d58456b9046fc86f1a656428d7bb2b579>,26
<https://w3id.org/pmd/co/PMD_0060009>,25
ns2:MWO_0001003,25
ontology:NFDI_0010019,24
ontology:NFDI_0001042,23
ontology:NFDI_0001041,23
edamontology:format_2197,22
ontology:NFDI_0001013,22
obo:IAO_0000102,22
ns2:MWO_0001101,22
ontology:NFDI_0001038,21
ontology:NFDI_0010041,21
ns2:MWO_0001107,20
ontology:NFDI_0000218,20
ontology:NFDI_0001054,20
<n136d58456b9046fc86f1a656428d7bb2b267>,20
ontology:NFDI_0000005,20
<n136d58456b9046fc86f1a656428d7bb2b392>,20
<n136d58456b9046fc86f1a656428d7bb2b396>,20
<n136d58456b9046fc86f1a656428d7bb2b400>,20
obo:BFO_0000029,20
ns2:MWO_0001029,20
<n136d58456b9046fc86f1a656428d7bb2b377>,20
ontology:NFDI_0001033,19
ontology:NFDI_0000106,19
ontology:NFDI_0000140,19
ontology:NFDI_0010040,18
ontology:NFDI_0001045,18
ontology:NFDI_0001044,17
ontology:NFDI_0001049,17
ontology:NFDI_0010039,17
ns2:MWO_0001026,17
obo:IAO_0000642,17
ns2:MWO_0001104,17
ontology:NFDI_0001048,16
ontology:NFDI_0001046,16
obo:IAO_0000109,16
ns2:MWO_0001004,15
ontology:NFDI_0001032,14
<https://w3id.org/pmd/co/PMD_0020099>,14
ontology:NFDI_0001043,13
ontology:NFDI_0000186,13
ontology:NFDI_0000222,12
ontology:NFDI_0010025,12
ontology:NFDI_0000121,12
ontology:NFDI_0000107,12
obo:BFO_0000027,12
<https://w3id.org/pmd/co/PMD_0000602>,11
ontology:NFDI_0001040,10
ontology:NFDI_0001047,10
ontology:NFDI_0010016,10
obo:IAO_0000131,9
ontology:NFDI_0000206,9
<https://w3id.org/pmd/co/PMD_0020116>,9
obo:IAO_0000078,9
ontology:NFDI_0000231,8
<n136d58456b9046fc86f1a656428d7bb2b547>,8
<https://w3id.org/pmd/co/PMD_0000001>,8
ontology:NFDI_0000230,8
<n136d58456b9046fc86f1a656428d7bb2b555>,8
ns2:MWO_0001027,8
obo:IAO_0000017,7
ns2:MWO_0001034,7
ns2:MWO_0001001,7
<https://w3id.org/pmd/co/PMD_0020023>,7
ontology:NFDI_0010026,6
obo:IAO_0000225,6
ontology:NFDI_0001056,6
obo:BFO_0000148,6
obo:BFO_0000203,6
<n136d58456b9046fc86f1a656428d7bb2b449>,6
ns2:MWO_0001035,5
ontology:NFDI_0010017,5
ontology:NFDI_0001035,5
ns2:MWO_0001007,5
ontology:NFDI_0001058,5
<n136d58456b9046fc86f1a656428d7bb2b292>,5
owl:AllDisjointClasses,5
ns2:MWO_0001005,4
ontology:NFDI_0001052,4
obo:IAO_8000000,4
ontology:NFDI_0000024,4
obo:BFO_0000019,4
ns2:MWO_0001056,4
ontology:NFDI_0001031,3
ontology:NFDI_0001051,3
ontology:NFDI_0010022,3
obo:IAO_0000409,3
rdfs:Datatype,3
ontology:NFDI_0001050,3
<n136d58456b9046fc86f1a656428d7bb2b271>,3
obo:IAO_8000013,2
ontology:NFDI_0001036,2
obo:IAO_8000001,2
ontology:NFDI_0001065,1
ns2:MWO_0001050,1
ns2:MWO_0001049,1
ns2:MWO_0001047,1
ns2:MWO_0001044,1
ns2:MWO_0001046,1
ns2:MWO_0001042,1
ontology:NFDI_0001064,1
ns2:MWO_0001006,1
ontology:NFDI_0001067,1
ns2:MWO_0001045,1
ontology:NFDI_0001066,1
ns2:MWO_0001060,1
<n136d58456b9046fc86f1a656428d7bb2b170>,1
ns2:MWO_0001048,1
ns2:MWO_0001041,1
ontology:NFDI_0000119,1
owl:Ontology,1
ns2:MWO_0001043,1
ontology:NFDI_0001063,1
