predicate,count
rdf:type,1909
rdfs:label,1704
nfdicore:url,506
mwo:hasWebsite,257
owl:sameAs,195
mwo:hasRepository,166
ns3:has_license,148
dcterms:description,141
mwo:hasExpertiseIn,131
mwo:description,131
rdfs:comment,124
nfdicore:programmingLanguage,102
ns2:IAO_0000115,101
mwo:hasAffiliation,99
foaf:firstName,96
foaf:surname,96
rdfs:subClassOf,93
mwo:hasVersion,93
mwo:hasDiscipline,93
schema:citation,91
mwo:hasDocumentation,91
mwo:emailAddress,89
rdfs:domain,86
schema:operatingSystem,80
mwo:hasAcronym,72
mwo:usesMethod,67
rdfs:range,67
dcterms:title,66
mwo:hasContactPoint,64
mwo:relatedParticipantProject,61
mwo:hasRelatedResource,57
foaf:title,54
mwo:hasContributor,47
nfdicore:location,46
mwo:hasORCID,45
rdf:rest,39
rdf:first,39
mwo:keyword,35
mwo:hasPostalCode,32
schema:datePublished,30
mwo:relatedTaskArea,28
mwo:hasCreator,27
rdfs:subPropertyOf,27
nfdicore:example,27
nfdicore:parentOrganisation,26
mwo:hasAuthor,25
mwo:requiredTool,25
owl:inverseOf,23
nfdicore:objectType,22
foaf:depiction,22
nfdicore:fileExtension,21
mwo:hasRORID,20
owl:unionOf,19
nfdicore:relatedProject,19
nfdicore:country,19
ns3:SWO_0000082,18
mwo:mainTaskArea,17
ns2:IAO_0000119,16
nfdicore:fundingProject,16
mwo:hasLecturer,15
nfdicore:semanticExpressivity,15
mwo:hasFormat,15
dcterms:format,13
rdfs:isDefinedBy,13
dcterms:creator,13
ns4:hasDbXref,12
mwo:isOnline,12
mwo:aboutMaterial,11
mwo:hasDOI,11
ns1:duration,11
mwo:conformsToSpecification,9
ns4:hasExactSynonym,8
ns2:IAO_0000112,8
mwo:hasWorkPackage,7
schema:dateCreated,7
skos:definition,7
owl:equivalentClass,7
dc:contributor,6
mwo:instrumentModel,6
mwo:usesTechnology,6
modsci:hasManufacturer,6
dcterms:isPartOf,5
ns4:hasDefinition,5
owl:onProperty,4
mwo:hasOwner,4
mwo:belongsTo,3
mwo:hasPostalAddress,3
ns2:IAO_0000111,3
owl:someValuesFrom,3
ns2:IAO_0000118,3
dcterms:license,2
owl:annotatedSource,2
ns4:hasRelatedSynonym,2
skos:prefLabel,2
ns2:IAO_0010000,2
mwo:hasSerialNumber,2
nfdicore:standard,2
owl:annotatedProperty,2
ns2:IAO_0000116,2
ns4:hasBroadSynonym,2
owl:annotatedTarget,2
emmo:EMMO_967080e5_2f42_4eb2_a3a9_c58143e835f9,1
ns2:BFO_0000180,1
ns2:IAO_0000600,1
ns2:IAO_0000114,1
ns2:IAO_0000117,1
dcterms:bibliographicCitation,1
ns2:BFO_0000179,1
rdfs:seeAlso,1
ns2:IAO_0000602,1
owl:allValuesFrom,1
