type,count
rdfs:Resource,5237
owl:Thing,774
<http://schema.org/Product>,739
xsd:anyURI,506
nfdicore:Resource,374
<n87b0218f356d411cb370cd9a956f83b8b68>,374
nfdicore:Website,255
nfdicore:Software,202
mwo:Repository,163
nfdicore:AcademicDiscipline,116
modsci:ModernScience,116
<http://schema.org/CreativeWork>,99
nfdicore:Person,96
nfdicore:Publication,90
<n87b0218f356d411cb370cd9a956f83b8b13>,89
mwo:Documentation,89
ns3:SWO_0000001,86
rdfs:Literal,78
nfdicore:Organization,73
ns3:SWO_0000002,70
<n87b0218f356d411cb370cd9a956f83b8b72>,70
nfdicore:DataPortal,61
<http://schema.org/Service>,61
<http://schema.org/Intangible>,61
nfdicore:Project,60
mwo:ResearchSoftware,54
mwo:ContactPoint,51
nfdicore:Specification,26
<n87b0218f356d411cb370cd9a956f83b8b22>,26
<n87b0218f356d411cb370cd9a956f83b8b48>,26
nfdicore:Place,23
mwo:Method,21
<n87b0218f356d411cb370cd9a956f83b8b16>,21
mwo:ParticipantProject,20
nfdicore:City,20
<n87b0218f356d411cb370cd9a956f83b8b1>,19
mwo:UseCase,17
nfdicore:ProgrammingLanguage,16
nfdicore:TechnologicalMeans,16
mwo:SemanticResource,15
nfdicore:ObjectType,14
mwo:EducationalResource,13
<http://www.ebi.ac.uk/swo/license/SWO_1000043>,13
<http://www.ebi.ac.uk/swo/license/SWO_1000008>,13
<n87b0218f356d411cb370cd9a956f83b8b28>,12
<n87b0218f356d411cb370cd9a956f83b8b19>,11
ns1:OrganisedEvent,11
<n87b0218f356d411cb370cd9a956f83b8b67>,11
<n87b0218f356d411cb370cd9a956f83b8b65>,11
<n87b0218f356d411cb370cd9a956f83b8b66>,11
<http://www.ebi.ac.uk/swo/license/SWO_1000061>,10
nfdicore:Dataset,9
nfdicore:fundingProject,9
<n87b0218f356d411cb370cd9a956f83b8b60>,9
<n87b0218f356d411cb370cd9a956f83b8b31>,9
dcterms:FileFormat,9
dcterms:MediaType,9
mwo:MetadataSchema,8
<http://www.ebi.ac.uk/swo/license/SWO_1000001>,8
mwo:ProcessingSoftware,8
mwo:VisualizationSoftware,8
modsci:Instrument,8
emmo:EMMO_4207e895_8b83_4318_996a_72cfb32acd94,8
nfdicore:Collection,6
modsci:Technology,6
modsci:ScientificInstrument,6
mwo:LargeScaleFacility,5
mwo:ComputationalWorkflow,5
mwo:Workflow,5
nfdicore:SemanticExpressivity,5
owl:NamedIndividual,5
modsci:ScientificInstrumentManufacturer,5
nfdicore:TaskArea,5
<http://www.ebi.ac.uk/swo/license/SWO_1000002>,5
dc:contributor,4
owl:Restriction,4
<n87b0218f356d411cb370cd9a956f83b8b10>,3
nfdicore:Country,3
mwo:WorkflowEnvironment,3
<n87b0218f356d411cb370cd9a956f83b8b25>,2
owl:Ontology,2
owl:Axiom,2
xsd:boolean,2
nfdicore:Standard,1
nfdicore:Consortium,1
<http://www.ebi.ac.uk/swo/license/SWO_1000103>,1
