#	TYPE agent	label	denoted by written name	bearer of Role
ID	TYPE	A rdfs:label	I ‘denoted by’	I ‘bearer of’
https://purls.helmholtz-metadaten.de/msekg/17451651928121	agent	ContactPoint 1	WrittenName 1	ContactPointRole 1
https://purls.helmholtz-metadaten.de/msekg/17451651928122	agent	ContactPoint 2	WrittenName 2	ContactPointRole 2
https://purls.helmholtz-metadaten.de/msekg/17451651928123	agent	ContactPoint 3	WrittenName 3	ContactPointRole 3
https://purls.helmholtz-metadaten.de/msekg/17451651928124	agent	ContactPoint 4	WrittenName 4	ContactPointRole 4
https://purls.helmholtz-metadaten.de/msekg/17451651928125	agent	ContactPoint 5	WrittenName 5	ContactPointRole 5
https://purls.helmholtz-metadaten.de/msekg/17451651928126	agent	ContactPoint 6	WrittenName 6	ContactPointRole 6
https://purls.helmholtz-metadaten.de/msekg/17451651928127	agent	ContactPoint 7	WrittenName 7	ContactPointRole 7
https://purls.helmholtz-metadaten.de/msekg/17451651928128	agent	ContactPoint 8	WrittenName 8	ContactPointRole 8
https://purls.helmholtz-metadaten.de/msekg/17451651928129	agent	ContactPoint 9	WrittenName 9	ContactPointRole 9
https://purls.helmholtz-metadaten.de/msekg/174516519281210	agent	ContactPoint 10	WrittenName 10	ContactPointRole 10
https://purls.helmholtz-metadaten.de/msekg/174516519281211	agent	ContactPoint 11	WrittenName 11	ContactPointRole 11
https://purls.helmholtz-metadaten.de/msekg/174516519281212	agent	ContactPoint 12	WrittenName 12	ContactPointRole 12
https://purls.helmholtz-metadaten.de/msekg/174516519281213	agent	ContactPoint 13	WrittenName 13	ContactPointRole 13
https://purls.helmholtz-metadaten.de/msekg/174516519281214	agent	ContactPoint 14	WrittenName 14	ContactPointRole 14
https://purls.helmholtz-metadaten.de/msekg/174516519281215	agent	ContactPoint 15	WrittenName 15	ContactPointRole 15
https://purls.helmholtz-metadaten.de/msekg/174516519281216	agent	ContactPoint 16	WrittenName 16	ContactPointRole 16
https://purls.helmholtz-metadaten.de/msekg/174516519281217	agent	ContactPoint 17	WrittenName 17	ContactPointRole 17
https://purls.helmholtz-metadaten.de/msekg/174516519281218	agent	ContactPoint 18	WrittenName 18	ContactPointRole 18
https://purls.helmholtz-metadaten.de/msekg/174516519281219	agent	ContactPoint 19	WrittenName 19	ContactPointRole 19
https://purls.helmholtz-metadaten.de/msekg/174516519281220	agent	ContactPoint 20	WrittenName 20	ContactPointRole 20
https://purls.helmholtz-metadaten.de/msekg/174516519281221	agent	ContactPoint 21	WrittenName 21	ContactPointRole 21
https://purls.helmholtz-metadaten.de/msekg/174516519281222	agent	ContactPoint 22	WrittenName 22	ContactPointRole 22
https://purls.helmholtz-metadaten.de/msekg/174516519281223	agent	ContactPoint 23	WrittenName 23	ContactPointRole 23
https://purls.helmholtz-metadaten.de/msekg/174516519281224	agent	ContactPoint 24	WrittenName 24	ContactPointRole 24
https://purls.helmholtz-metadaten.de/msekg/174516519281225	agent	ContactPoint 25	WrittenName 25	ContactPointRole 25
https://purls.helmholtz-metadaten.de/msekg/174516519281226	agent	ContactPoint 26	WrittenName 26	ContactPointRole 26
https://purls.helmholtz-metadaten.de/msekg/174516519281227	agent	ContactPoint 27	WrittenName 27	ContactPointRole 27
https://purls.helmholtz-metadaten.de/msekg/174516519281228	agent	ContactPoint 28	WrittenName 28	ContactPointRole 28
https://purls.helmholtz-metadaten.de/msekg/174516519281229	agent	ContactPoint 29	WrittenName 29	ContactPointRole 29
https://purls.helmholtz-metadaten.de/msekg/174516519281230	agent	ContactPoint 30	WrittenName 30	ContactPointRole 30
https://purls.helmholtz-metadaten.de/msekg/174516519281231	agent	ContactPoint 31	WrittenName 31	ContactPointRole 31
https://purls.helmholtz-metadaten.de/msekg/174516519281232	agent	ContactPoint 32	WrittenName 32	ContactPointRole 32
https://purls.helmholtz-metadaten.de/msekg/174516519281233	agent	ContactPoint 33	WrittenName 33	ContactPointRole 33
https://purls.helmholtz-metadaten.de/msekg/174516519281234	agent	ContactPoint 34	WrittenName 34	ContactPointRole 34
https://purls.helmholtz-metadaten.de/msekg/174516519281235	agent	ContactPoint 35	WrittenName 35	ContactPointRole 35
