#	TYPE	Contribution name*	Short description*	Link (URL / PID)	occupies temporal region	Teilnehmendenzahl	Frequency	Associated organization	weitere beteiligte Konsortien	Zielgruppe
ID	TYPE	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/BFO_0000199	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000152	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/BFO_0000057 SPLIT=,	I http://purl.obolibrary.org/obo/BFO_0000057 SPLIT=,	I http://purl.obolibrary.org/obo/BFO_0000057
https://purls.helmholtz-metadaten.de/msekg/17453327909881	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Data Processing for Engineers and Scientists	basic statistics; python programming; image processing; basic machine learning	url 668	temporal region 1					
https://purls.helmholtz-metadaten.de/msekg/17453327909882	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Selected Chapters in Data Processing: Microstructure Analysis and Synthesis	2D and 3D image analysis; image processing; paraview and python	url 669	temporal region 2					
https://purls.helmholtz-metadaten.de/msekg/17453327909883	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Information Service Engineering__name__	This lecture provides an introduction into natural language processing (NLP), followed by knowledge representation basics with a focus on knowledge graphs and Semantic Web technologies. Moreover, a brief sketch of machine learning and deep learning technologies complement the lecture to provide some insights on state-of-the-art ISE applications, in particular on semantic and exploratory search.	url 670	temporal region 3					
https://purls.helmholtz-metadaten.de/msekg/17453327909884	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Knowledge Graphs (openHPI Massive Open Online Course (MOOC))	In this course you will learn what is necessary to design, implement, and use knowledge graphs. The focus of this course will be on basic semantic technologies including the principles of knowledge representation and symbolic AI. This includes information encoding via RDF triples, knowledge representation via ontologies with OWL, efficiently querying knowledge graphs via SPARQL, latent representation of knowledge in vector space, as well as knowledge graph applications in innovative information systems, as e.g., semantic and exploratory search.	url 671	temporal region 4					
https://purls.helmholtz-metadaten.de/msekg/17453327909885	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Information Service Engineering (openHPI Massive Open Online Course (MOOC))	The information available today exceeds all limits. Access to this abundance of data is only possible via search engines and sophisticated information processing applications. To enable the transition from raw data to well-structured knowledge, technologies such as natural language processing, information retrieval, data and knowledge mining must be applied. In the course of this transition, unstructured data such as natural language text, is analyzed based on statistical language models and machine learning, to represent the contained information with the help of formal knowledge representations. In general, “Information Service Engineering” covers the conceptualization, development, and maintenance of long-term operation of services for the exploitation, processing, and dissemination of information. In this lecture, students will learn the fundamentals of natural language processing, knowledge mining, machine learning, linked data engineering, as well as information retrieval required for the development of information services.	url 672	temporal region 5					
https://purls.helmholtz-metadaten.de/msekg/17453327909886	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Linked Data Engineering (openHPI Massive Open Online Course (MOOC))	We are surrounded by data everywhere. By helping us to make better decisions, data plays a central role in our daily lives. An ever increasing number of data sources, driven by individuals and organizations, contribute to this data deluge by sharing their data with others. However, data is locked up behind proprietary, unreliable, and even unstable programming interfaces that prevent us from optimally making use of it. Linked Data has the potential to revolutionize the way we discover, access, integrate, and use data; just in the way the World Wide Web has revolutionized the way we consume and connect documents. This course will introduce you to the basic principles and technologies of Linked Data to enable data sharing and rEuropese on a massive scale. Held together by ontologies, i.e. knowledge representations based on Semantic Web technologies, Linked Data serves as the central building block of the emerging Web of Data.	url 673	temporal region 6					
https://purls.helmholtz-metadaten.de/msekg/17453327909887	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Semantic Web Technologies (open HPI Massive Open Online Course (MOOC))	In this course, you will learn the fundamentals of Semantic Web technologies and how they are applied for knowledge representation in the World Wide Web. You will learn how to represent knowledge with ontologies and how to access and benefit from semantic data on the Web. Furthermore, you will also learn how to make use of Linked Data and the Web of Data, currently the most popular applications based on Semantic Web technologies.	url 674	temporal region 7					
https://purls.helmholtz-metadaten.de/msekg/17453327909888	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Semantic Web Technologies (open HPI Massive Open Online Course (MOOC))	In this course, you will learn the fundamentals of Semantic Web technologies. You will learn how to represent knowledge and how to access and benefit from semantic data on the Web.	url 675	temporal region 8					
https://purls.helmholtz-metadaten.de/msekg/17453327909889	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Pyiron YouTube channel	Welcome to our youtube channel where we present pyiron - an integrated development environment for computational materials science.	url 676	temporal region 9			Max Planck Institute for Iron Research		
https://purls.helmholtz-metadaten.de/msekg/174533279098810	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Materials Cloud Youtube channel	Tutorials and lectures on Materials Science, with focus on the AiiDA workflow manager (www.aiida.net) and the Materials Cloud open science platform (materialscloud.org).	url 677	temporal region 10			Marvel NCCR, MAX (MAterials design at the eXascale)		
https://purls.helmholtz-metadaten.de/msekg/174533279098811	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Workshop: From Electrons to Phase Diagrams	Jupyter notebooks and video recordings of the workshop. The three-day workshop focussed hands-on classes that cover the complete chain from high-throughput electronic structure calculations to the computation of phase diagrams.	url 678	temporal region 11			Interdisciplinary Centre for Advanced Materials Simulation, Max Planck Institute for Iron Research		
https://purls.helmholtz-metadaten.de/msekg/174533279098812	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Workshop: Software tools from Atomistics to Phase diagrams	Series of interactive tutorials explaining how to calculate thermodynamic properties with atomistic simulation using pyiron, an integrated development environment for complex simulation protocols.	url 679	temporal region 12			Max Planck Institute for Iron Research		
https://purls.helmholtz-metadaten.de/msekg/174533279098813	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Workshop: Workflows for atomistic simulations	Workshop lectures and videos from fitting of interatomic potentials to validating them.	url 680	temporal region 13			Interdisciplinary Centre for Advanced Materials Simulation, Max Planck Institute for Iron Research		
https://purls.helmholtz-metadaten.de/msekg/174533279098814	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000018	Workshop: Simulation workflows in materials modelling	As part of the workshop for Simulation Workflows in Materials Modelling we present a series of pyiron tutorials, starting from a basic introduction to Pyiron, followed by a focus session on up-scaling existing workflows and finally the implementation of new simulation codes and general open science activities of the pyiron Project collabration.	url 681	temporal region 14			Max Planck Institute for Iron Research		
https://purls.helmholtz-metadaten.de/msekg/17453335797431	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	SAM-CONAMET 2002 Argentina			temporal region 15	Massenveranstaltung (100+)	einmalig			Forschende
https://purls.helmholtz-metadaten.de/msekg/17453335797432	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	GdCH Meeting 2021			temporal region 16	Massenveranstaltung (100+)	einmalig			Forschende
https://purls.helmholtz-metadaten.de/msekg/17453335797433	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	DGM Materials Week 2021			temporal region 17	Massenveranstaltung (100+)	einmalig			Forschende
https://purls.helmholtz-metadaten.de/msekg/17453335797434	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	55. Metallographietagung 2021			temporal region 18	Massenveranstaltung (100+)	jährlich			Forschende
https://purls.helmholtz-metadaten.de/msekg/17453335797435	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001043	BVMatWerk			temporal region 19	Gruppen (11-50)	jährlich			Forschende
https://purls.helmholtz-metadaten.de/msekg/17453335797436	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	Fachtagung "Quality", Mammelzen (QATM), 2021			temporal region 20		einmalig			gemischt
https://purls.helmholtz-metadaten.de/msekg/17453335797437	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010025	International Teaching Staff Week of the SWZ 2022			temporal region 21	Gruppen (11-50)	einmalig			Forschende
https://purls.helmholtz-metadaten.de/msekg/17453335797438	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001043	All hands on deck meeting 2022			temporal region 22	Großveranstaltung (51-99)	jährlich			NFDI MatWerk group
https://purls.helmholtz-metadaten.de/msekg/17453335797439	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	International IC-MPPE 2022 Conference			temporal region 23	Massenveranstaltung (100+)	einmalig			gemischt
https://purls.helmholtz-metadaten.de/msekg/174533357974310	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010025	Department Seminar "Materials EngineerinG", BAM, 2022			temporal region 24		einmalig			Forschende
https://purls.helmholtz-metadaten.de/msekg/174533357974311	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	GRC Bioinspired Materials 2022			temporal region 25		einmalig			Forschende
https://purls.helmholtz-metadaten.de/msekg/174533357974312	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010019	Europeropean FIB Network Meeting 2022 | Europeropean FIB Network Meeting 2023			temporal region 26	Großveranstaltung (51-99)	jährlich			Forschende
https://purls.helmholtz-metadaten.de/msekg/174533357974313	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	MSE Congress 2022 | MSE Congress 2024 (upcoming)			temporal region 27	Massenveranstaltung (100+)	zweijährlich			Forschende
https://purls.helmholtz-metadaten.de/msekg/174533357974314	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	Helmholtz Metadata Collaboration Conference 2022 | Helmholtz Metadata Collaboration Conference 2023			temporal region 28	Massenveranstaltung (100+)	jährlich			Forschende
https://purls.helmholtz-metadaten.de/msekg/174533357974315	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020	Werkstoffprüfung 2022 | Werkstoffprüfung 2023			temporal region 29	Massenveranstaltung (100+)	jährlich			gemischt
