#	TYPE	Name*	Link (URL / PID) to repository	Link (URL / PID) to documentation	Short description	License	Acronym
ID	TYPE	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000142	I http://purl.obolibrary.org/obo/IAO_0000235
https://purls.helmholtz-metadaten.de/msekg/17453296469551	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	Elemental Multiperspective Material Ontology (EMMO)	url 568		The Elemental Multiperspective Material Ontology (EMMO) is the result of a multidisciplinary effort within the EMMC, aimed at the development of a standard representational ontology framework based on current materials modelling and characterization knowledge.	Creative Commons Attribution 4.0 International Public License	
https://purls.helmholtz-metadaten.de/msekg/17453296469552	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	MaterialsMine (MM)	url 569		A materials ontology to support data Publication involving nanomaterials and metamaterials.	MIT	
https://purls.helmholtz-metadaten.de/msekg/17453296469553	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	Dislocation Ontology (DISO)	url 570	url 666	DISO is a domain ontology that defines the linear defect, in particular dislocation concepts and relations between them in crystalline materials. Moreover, Crystal Structure Ontology (CSO) and Crystallographic Defect Ontology (CDO), which ontologies define the concepts of crystal structureand crystalline defect, respectively, are also introduced in this repository.	MIT	
https://purls.helmholtz-metadaten.de/msekg/17453296469554	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	Materials Design Ontology (MDO)	url 571	url 667	MDO is an ontology for materials design field, representing the domain knowledge specifically related to solid-state physics and computational materials science.	MIT	
https://purls.helmholtz-metadaten.de/msekg/17453296469555	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	Aditive Manufacturing Ontology (AMONTOLOGY)	url 572		The AM ontology has been developed following two major milestones. The ontology developed within the first milestone includes AMProcessOntology, ModelOntology and AMOntology files. AMProcessOntology contains the set of entities used to capture knowledge about additive manufacturing processes. ModelOntology contains the set of entities used to capture knowledge about modeling concepts that represent (possibly) multi-physics multi-scale processes. AMOntology uses AMProcessOntology and ModelOntology files to describe entities that capture knowledge about characteristics of computational models for AM processes.		
https://purls.helmholtz-metadaten.de/msekg/17453296469556	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	MatOnto Ontology (MATONTO)	url 573		Domain ontology for the MatOnto Project collabration	MIT License	
https://purls.helmholtz-metadaten.de/msekg/17453296469557	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	Virtual Materials Marketplace (VIMMP) Ontologies	url 574		The Virtual Materials Marketplace (VIMMP) Project collabration, which develops an open platform for providing and accessing services related to materials modelling, is presented with a focus on its ontology development and data technology aspects. Within VIMMP, a system of marketplace-level ontologies is developed to characterize services, models, and interactions between users; the Europeropean Materials and Modelling Ontology is employed as a top-level ontology. The ontologies are used to annotate data that are stored in the ZONTAL Space component of VIMMP and to support the ingest and retrieval of data and metadata at the VIMMP marketplace frontend.		
https://purls.helmholtz-metadaten.de/msekg/17453296469558	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	eNanoMapper ontology	url 575		The eNanoMapper ontologies aim to provide a comprehensive suite of ontologies for the nanomaterial safety assessment domain	CC-BY (https://creativecommons.org/licenses/by/3.0/)	
https://purls.helmholtz-metadaten.de/msekg/17453296469559	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	Material Science and Engineering Ontology (MSEO)	url 576		MSEO utilizes the Common Core Ontology stack giving materials scientists and engineers the ability to represent their experiments and resulting data. The goal is to create machine and human readable sematic data which can be easily digested by other science domains. It is a product of the joint venture Materials Open Lab Project collabration between the Bundesanstalt für Materialforschung und -prüfung (BAM) and the Fraunhofer Group MATERIALS and used the BWMD ontology created by Fraunhofer IWM as a starting point.		
https://purls.helmholtz-metadaten.de/msekg/174532964695510	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	PMD Core Ontology	url 577		Ontology used in Platform Material Digital (PMD)		
https://purls.helmholtz-metadaten.de/msekg/174532964695511	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	NanoParticle Ontology for Cancer Nanotechnology Research (NPO)	url 578		The NPO is developed to represent the knowledge underlying the description, preparation, and characterization of nanomaterials in cancer nanotechnology research.	BSD-3-Clause license	
https://purls.helmholtz-metadaten.de/msekg/174532964695512	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023	Materials And Molecules Basic Ontology (MAMBO)	url 579		MAMBO (Materials And Molecules Basic Ontology) is a domain ontology for molecular materials.		
