#	TYPE	Label	Institution name	DE label	Acronym	City	Zip Code	country	Institute Website	Parent organization	ROR ID
ID	TYPE	A rdfs:label@en	I http://purl.obolibrary.org/obo/IAO_0000235	A rdfs:label@de	A http://purls.helmholtz-metadaten.de/mwo/MWO_0001143	I http://purl.obolibrary.org/obo/BFO_0000171	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/BFO_0000171	I http://purl.obolibrary.org/obo/IAO_0000235	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000182	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001006
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390861	http://purl.obolibrary.org/obo/OBI_0000245	Max Planck Institute for Iron Research	Max Planck Institute for Iron Research_name_	Max-Planck-Institut für Eisenforschung	MPIE	Dusseldorf	40237	Germany	url 1	Max-Planck-Gesellschaft	ror 1
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390862	http://purl.obolibrary.org/obo/OBI_0000245	Institute of Applied Mechanics, Stuttgart Center for Simulation Science	Institute of Applied Mechanics, Stuttgart Center for Simulation Science_name_	Institut für Mechanik, Stuttgarter Zentrum für Simulationswissenschaft	MIB, SC SimTech	Stuttgart	70569	Germany	url 2	University of Stuttgart	ror 2
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390863	http://purl.obolibrary.org/obo/OBI_0000245	Federal Institute For Materials Research and Testing	Federal Institute For Materials Research and Testing_name_	Bundesanstalt für Materialforschung und -prüfung	BAM	Berlin	12205	Germany	url 3		ror 3
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390864	http://purl.obolibrary.org/obo/OBI_0000245	Institute of Materials Science	Institute of Materials Science_name_	Institut für Materialwissenschaft		Kiel	24143	Germany	url 4	Christian-Albrechts-Universität zu Kiel	ror 4
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390865	http://purl.obolibrary.org/obo/OBI_0000245	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure	FIZ Karlsruhe - Leibniz Institute for Information Infrastructure_name_	FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur	FIZ Karlsruhe	Eggenstein-Leopoldshafen	76344	Germany	url 5	Leibniz-Gemeinschaft	ror 5
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390866	http://purl.obolibrary.org/obo/OBI_0000245	Forschungszentrum Jülich, Materials Data Science and Informatics (IAS9)	Forschungszentrum Jülich, Materials Data Science and Informatics (IAS9)_name_		FZJ	Aachen	52068	Germany	url 6	Helmholtz-Gemeinschaft	ror 6
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390867	http://purl.obolibrary.org/obo/OBI_0000245	Interdisciplinary Centre for Advanced Materials Simulation	Interdisciplinary Centre for Advanced Materials Simulation_name_		ICAMS	Bochum	44801	Germany	url 7	Ruhr-Universität Bochum	ror 7
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390868	http://purl.obolibrary.org/obo/OBI_0000245	Institute for physical metallurgy and materials physics	Institute for physical metallurgy and materials physics_name_	Institut für Metallkunde und Materialphysik	IMM	Aachen	52062	Germany	url 8	RWTH Aachen University	ror 8
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17451394390869	http://purl.obolibrary.org/obo/OBI_0000245	Institute for Lightweight Design with Hybrid Systems	Institute for Lightweight Design with Hybrid Systems_name_	Institut für Leichtbau mit Hybridsystemen	ILH	Paderborn	33098	Germany	url 9	University of Paderborn	ror 9
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174513943908610	http://purl.obolibrary.org/obo/OBI_0000245	Rechenzentrum der Christian-Albrechts-Universität	Rechenzentrum der Christian-Albrechts-Universität_name_		RZ	Kiel	24118	Germany	url 10	Christian-Albrechts-Universität zu Kiel	ror 4
