#	TYPE	label	has participant	realizes role	occupies temporal region	concretizes	Standard
ID	TYPE	A rdfs:label	I http://purl.obolibrary.org/obo/BFO_0000057 SPLIT=|	I http://purl.obolibrary.org/obo/BFO_0000055 SPLIT=,	I http://purl.obolibrary.org/obo/BFO_0000199	I http://purl.obolibrary.org/obo/BFO_0000059	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000207 SPLIT=,
https://purls.helmholtz-metadaten.de/msekg/17461174529941	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 1	ContactPoint 1	ContactPointRole 1			
https://purls.helmholtz-metadaten.de/msekg/17461174529942	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 2	ContactPoint 2	ContactPointRole 2			
https://purls.helmholtz-metadaten.de/msekg/17461174529943	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 3	ContactPoint 3	ContactPointRole 3			
https://purls.helmholtz-metadaten.de/msekg/17461174529944	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 4	ContactPoint 4	ContactPointRole 4			
https://purls.helmholtz-metadaten.de/msekg/17461174529945	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 5	ContactPoint 5	ContactPointRole 5			
https://purls.helmholtz-metadaten.de/msekg/17461174529946	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 6	ContactPoint 6	ContactPointRole 6			
https://purls.helmholtz-metadaten.de/msekg/17461174529947	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 7	ContactPoint 7	ContactPointRole 7			
https://purls.helmholtz-metadaten.de/msekg/17461174529948	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 8	ContactPoint 8	ContactPointRole 8			
https://purls.helmholtz-metadaten.de/msekg/17461174529949	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 9	ContactPoint 9	ContactPointRole 9			
https://purls.helmholtz-metadaten.de/msekg/174611745299410	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 10	ContactPoint 10	ContactPointRole 10			
https://purls.helmholtz-metadaten.de/msekg/174611745299411	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 11	ContactPoint 11	ContactPointRole 11			
https://purls.helmholtz-metadaten.de/msekg/174611745299412	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 12	ContactPoint 12	ContactPointRole 12			
https://purls.helmholtz-metadaten.de/msekg/174611745299413	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 13	ContactPoint 13	ContactPointRole 13			
https://purls.helmholtz-metadaten.de/msekg/174611745299414	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 14	ContactPoint 14	ContactPointRole 14			
https://purls.helmholtz-metadaten.de/msekg/174611745299415	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 15	ContactPoint 15	ContactPointRole 15			
https://purls.helmholtz-metadaten.de/msekg/174611745299416	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 16	ContactPoint 16	ContactPointRole 16			
https://purls.helmholtz-metadaten.de/msekg/174611745299417	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 17	ContactPoint 17	ContactPointRole 17			
https://purls.helmholtz-metadaten.de/msekg/174611745299418	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 18	ContactPoint 18	ContactPointRole 18			
https://purls.helmholtz-metadaten.de/msekg/174611745299419	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 19	ContactPoint 19	ContactPointRole 19			
https://purls.helmholtz-metadaten.de/msekg/174611745299420	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 20	ContactPoint 20	ContactPointRole 20			
https://purls.helmholtz-metadaten.de/msekg/174611745299421	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 21	ContactPoint 21	ContactPointRole 21			
https://purls.helmholtz-metadaten.de/msekg/174611745299422	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 22	ContactPoint 22	ContactPointRole 22			
https://purls.helmholtz-metadaten.de/msekg/174611745299423	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 23	ContactPoint 23	ContactPointRole 23			
https://purls.helmholtz-metadaten.de/msekg/174611745299424	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 24	ContactPoint 24	ContactPointRole 24			
https://purls.helmholtz-metadaten.de/msekg/174611745299425	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 25	ContactPoint 25	ContactPointRole 25			
https://purls.helmholtz-metadaten.de/msekg/174611745299426	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 26	ContactPoint 26	ContactPointRole 26			
https://purls.helmholtz-metadaten.de/msekg/174611745299427	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 27	ContactPoint 27	ContactPointRole 27			
https://purls.helmholtz-metadaten.de/msekg/174611745299428	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 28	ContactPoint 28	ContactPointRole 28			
https://purls.helmholtz-metadaten.de/msekg/174611745299429	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 29	ContactPoint 29	ContactPointRole 29			
https://purls.helmholtz-metadaten.de/msekg/174611745299430	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 30	ContactPoint 30	ContactPointRole 30			
https://purls.helmholtz-metadaten.de/msekg/174611745299431	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 31	ContactPoint 31	ContactPointRole 31			
https://purls.helmholtz-metadaten.de/msekg/174611745299432	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 32	ContactPoint 32	ContactPointRole 32			
https://purls.helmholtz-metadaten.de/msekg/174611745299433	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 33	ContactPoint 33	ContactPointRole 33			
https://purls.helmholtz-metadaten.de/msekg/174611745299434	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 34	ContactPoint 34	ContactPointRole 34			
https://purls.helmholtz-metadaten.de/msekg/174611745299435	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 35	ContactPoint 35	ContactPointRole 35			
https://purls.helmholtz-metadaten.de/msekg/174611745299436	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 36	ContactPoint 36	ContactPointRole 36			
https://purls.helmholtz-metadaten.de/msekg/174611745299437	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 37	ContactPoint 37	ContactPointRole 37			
https://purls.helmholtz-metadaten.de/msekg/174611745299438	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 38	ContactPoint 38	ContactPointRole 38			
https://purls.helmholtz-metadaten.de/msekg/174611745299439	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 39	ContactPoint 39	ContactPointRole 39			
https://purls.helmholtz-metadaten.de/msekg/174611745299440	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 40	ContactPoint 40	ContactPointRole 40			
https://purls.helmholtz-metadaten.de/msekg/174611745299441	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 41	ContactPoint 41	ContactPointRole 41			
https://purls.helmholtz-metadaten.de/msekg/174611745299442	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 42	ContactPoint 42	ContactPointRole 42			
https://purls.helmholtz-metadaten.de/msekg/174611745299443	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 43	ContactPoint 43	ContactPointRole 43			
https://purls.helmholtz-metadaten.de/msekg/174611745299444	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 44	ContactPoint 44	ContactPointRole 44			
https://purls.helmholtz-metadaten.de/msekg/174611745299445	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 45	ContactPoint 45	ContactPointRole 45			
https://purls.helmholtz-metadaten.de/msekg/174611745299446	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 46	ContactPoint 46	ContactPointRole 46			
https://purls.helmholtz-metadaten.de/msekg/174611745299447	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 47	ContactPoint 47	ContactPointRole 47			
https://purls.helmholtz-metadaten.de/msekg/174611745299448	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 48	ContactPoint 48	ContactPointRole 48			
https://purls.helmholtz-metadaten.de/msekg/174611745299449	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 49	ContactPoint 49	ContactPointRole 49			
https://purls.helmholtz-metadaten.de/msekg/174611745299450	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 50	ContactPoint 50	ContactPointRole 50			
https://purls.helmholtz-metadaten.de/msekg/174611745299451	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 51	ContactPoint 51	ContactPointRole 51			
https://purls.helmholtz-metadaten.de/msekg/174611745299452	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 52	ContactPoint 52	ContactPointRole 52			
https://purls.helmholtz-metadaten.de/msekg/174611745299453	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 53	ContactPoint 53	ContactPointRole 53			
https://purls.helmholtz-metadaten.de/msekg/174611745299454	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 54	ContactPoint 54	ContactPointRole 54			
https://purls.helmholtz-metadaten.de/msekg/174611745299455	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 55	ContactPoint 55	ContactPointRole 55			
https://purls.helmholtz-metadaten.de/msekg/174611745299456	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 56	ContactPoint 56	ContactPointRole 56			
https://purls.helmholtz-metadaten.de/msekg/174611745299457	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 57	ContactPoint 57	ContactPointRole 57			
https://purls.helmholtz-metadaten.de/msekg/174611745299458	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 58	ContactPoint 58	ContactPointRole 58			
https://purls.helmholtz-metadaten.de/msekg/174611745299459	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 59	ContactPoint 59	ContactPointRole 59			
https://purls.helmholtz-metadaten.de/msekg/174611745299460	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 60	ContactPoint 60	ContactPointRole 60			
https://purls.helmholtz-metadaten.de/msekg/174611745299461	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 61	ContactPoint 61	ContactPointRole 61			
https://purls.helmholtz-metadaten.de/msekg/174611745299462	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 62	ContactPoint 62	ContactPointRole 62			
https://purls.helmholtz-metadaten.de/msekg/174611745299463	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 63	ContactPoint 63	ContactPointRole 63			
https://purls.helmholtz-metadaten.de/msekg/174611745299464	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 64	ContactPoint 64	ContactPointRole 64			
https://purls.helmholtz-metadaten.de/msekg/174611745299465	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 65	ContactPoint 65	ContactPointRole 65			
https://purls.helmholtz-metadaten.de/msekg/174611745299466	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 66	ContactPoint 66	ContactPointRole 66			
https://purls.helmholtz-metadaten.de/msekg/174611745299467	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 67	ContactPoint 67	ContactPointRole 67			
https://purls.helmholtz-metadaten.de/msekg/174611745299468	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 68	ContactPoint 68	ContactPointRole 68			
https://purls.helmholtz-metadaten.de/msekg/174611745299469	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 69	ContactPoint 69	ContactPointRole 69			
https://purls.helmholtz-metadaten.de/msekg/174611745299470	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 70	ContactPoint 70	ContactPointRole 70			
https://purls.helmholtz-metadaten.de/msekg/174611745299471	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111	ContactingProcess 71	ContactPoint 71	ContactPointRole 71			
