#	TYPE contact point role	label	role email	role website	denoted by written name	inheres in
ID	TYPE	A rdfs:label	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/BFO_0000197 SPLIT=|
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496071	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 1	RoleEmail 1	RoleWebsite 1		ContactPoint 1
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496081	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 2	RoleEmail 2	RoleWebsite 2		ContactPoint 2
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496082	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 3	RoleEmail 3	RoleWebsite 3		ContactPoint 3
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496083	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 4	RoleEmail 4	RoleWebsite 4		ContactPoint 4
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496084	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 5	RoleEmail 5	RoleWebsite 5		ContactPoint 5
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496085	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 6	RoleEmail 6	RoleWebsite 6		ContactPoint 6
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496086	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 7	RoleEmail 7	RoleWebsite 7		ContactPoint 7
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496087	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 8	RoleEmail 8	RoleWebsite 8		ContactPoint 8
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496088	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 9	RoleEmail 9	RoleWebsite 9		ContactPoint 9
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/17461177496089	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 10	RoleEmail 10	RoleWebsite 10		ContactPoint 10
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174611774960810	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 11	RoleEmail 11	RoleWebsite 11		ContactPoint 11
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174611774960811	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 12	RoleEmail 12	RoleWebsite 12		ContactPoint 12
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174611774960812	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 13	RoleEmail 13	RoleWebsite 13		ContactPoint 13
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174611774960813	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 14	RoleEmail 14	RoleWebsite 14		ContactPoint 14
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174611774960814	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 15	RoleEmail 15	RoleWebsite 15		ContactPoint 15
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174611774960815	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 16	RoleEmail 16	RoleWebsite 16		ContactPoint 16
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174611774960816	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 17	RoleEmail 17	RoleWebsite 17		ContactPoint 17
https://nfdi.fiz-karlsruhe.de/matwerk/msekg/174611774960817	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000114	ContactPointRole 18	RoleEmail 18	RoleWebsite 18		ContactPoint 18
