#	Type	Software name	Short description	Subject area	Method	latest Version	Website link	Repository link	participates in contacting process	License	Runtime environment	Documentation link	Related software	Programming language	Associated project	Associated organization	Related publication
ID	TYPE	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000211	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000216 SPLIT=,	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/BFO_0000056	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000142	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000204 SPLIT=,	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000204	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000226 SPLIT=,	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000187 SPLIT=,	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000194 SPLIT=,	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000240	I http://purl.obolibrary.org/obo/IAO_0000235
https://purls.helmholtz-metadaten.de/msekg/17451592331711	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000121	Calphy	Python library and command line tool for calculation of free energies	Data Driven Material Science	molecular dynamics, atomistic simulations	1.1.4	url 58	url 194	ContactingProcess 1	ASL/ BSD-3	Linux,OSX	url 58	LAMMPS, pylammpsmpi, Pyscal, Mendeleev	python	NFDI-MatWerk project, https://gepris.dfg.de/gepris/projekt/405621217?context=projekt&task=showDetail&id=405621217&	Max Planck Institute for Iron Research	Automated free-energy calculation from atomistic simulations
https://purls.helmholtz-metadaten.de/msekg/17451592331712	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010039	Melting temperature computational workflow	A repository illustrating the calculation of melting temperature through atomistic simulations using pyiron and calphy	MaterialsDeformation Processes	molecular dynamics, atomistic simulations			url 195	ContactingProcess 2			url 317			NFDI-MatWerk project	Max Planck Institute for Iron Research	
https://purls.helmholtz-metadaten.de/msekg/17451592331713	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010039	Pyscal	Python library written in C++ for calculation of local atomic structural environment	Computational Materials Science	molecular dynamics, atomistic simulations	2.10.15	url 59	url 196	ContactingProcess 3	BSD-3	Linux,OSX,Windows	url 59	ASE, h5py, pybind11,LAMMPS	python, C++			pyscal: A python module for structural analysis of atomic environments.
https://purls.helmholtz-metadaten.de/msekg/17451592331714	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000218	EQ2PC	A python script to implement the generation of discrete periodic structures with identical 2-point correlation.	Materials Characterization				url 197	ContactingProcess 4			url 319		python			On the generation of periodic discrete structures with identical two-point correlation
https://purls.helmholtz-metadaten.de/msekg/17451592331715	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001044	MinimumEnergyPoints	An algorithm implementing the minimum energy without nonlinear constraints. Distributes points on hyperspheres such that user-defined energy is minimized.	Materials Characterization				url 198	ContactingProcess 5	BSD 3-Clause License				MATLAB	DFG-FR2702/8, DFG-FR2702/6, EXC 310/2		Generation of energy-minimizing point sets on spheres and their application in mesh-free interpolation and differentiation
https://purls.helmholtz-metadaten.de/msekg/17451592331716	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001046	ConcentricInterpolation	Interpolate and differentiate data in arbitrary dimensions efficiently in a concentric manner.	Materials Processing				url 199	ContactingProcess 6	BSD-3-Clause license				C++	SimTech EXC 2075		Generation of energy-minimizing point sets on spheres and their application in mesh-free interpolation and differentiation
https://purls.helmholtz-metadaten.de/msekg/17451592331717	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049	Image based prediction of the heat conduction tensor	An open-source code providing a graphical user interface to predict the effective heat conductivity of microstructures and requires only the image data as input. The deployed methods are proposed and validated in the related paper, doi: 10.3390/mca24020057.	Theoretical Computer Science	Machine learning			url 200	ContactingProcess 7					python	SimTech EXC 2075		Data-Driven Microstructure Property Relations
https://purls.helmholtz-metadaten.de/msekg/17451592331718	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000222	Finite Element Analysis Program	A general purpose finite element analysis program which is designed for research and educational use.	Materials Microstructural	Finite Element Method	8.6	url 60		ContactingProcess 8	Propietary	Windows,Mac/Unix/Linux	url 320					
https://purls.helmholtz-metadaten.de/msekg/17451592331719	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041	ParaView	ParaView is an open-source, multi-platform data analysis and visualization application based on Visualization Toolkit (VTK).	Software Engineering		5.10.1	url 61	url 201	ContactingProcess 9	OSI-approved BSD 3-clause License	Windows,Mac/Unix/Linux	url 321	VTK	C, C++, Fortran, python			
https://purls.helmholtz-metadaten.de/msekg/174515923317110	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049	The Visualization Toolkit	The Visualization Toolkit (VTK) is open source software for manipulating and displaying scientific data. It comes with state-of-the-art tools for 3D rendering, a suite of widgets for 3D interaction, and extensive 2D plotting capability.	Computational Materials Science		9.2.0	url 62	url 202	ContactingProcess 10	BSD license			ParaView				Schroeder, Will; Martin, Ken; Lorensen, Bill (2006), The Visualization Toolkit (4th ed.), Kitware, ISBN 978-1-930934-19-1
https://purls.helmholtz-metadaten.de/msekg/174515923317111	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001048	pyXIT	Volume Reconstrution Software for X-ray computed tomography data: reconstruction of set of 2D Project collabrationions to a 3D volume based on mathematical algorithms	Computational Materials Science	X-ray imaging	1.1.5	url 63		ContactingProcess 11	BSD				python			
https://purls.helmholtz-metadaten.de/msekg/174515923317112	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000121	Avizo Software	image data processing, visualization and analysis especially for 3D data sets like X-ray tomography	Data Science		2019.3	url 64		ContactingProcess 12	Proprietary license							
https://purls.helmholtz-metadaten.de/msekg/174515923317113	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049	Fiji	Fiji is an image processing package—a “batteries-included” distribution of ImageJ2, bundling a lot of plugins which facilitate scientific image analysis.	Data Science		2.5.0	url 65	url 203	ContactingProcess 13	GPLv3+		url 322	ImageJ, ImageJ2	Java, Shell, python, ruby, MATLAB			
https://purls.helmholtz-metadaten.de/msekg/174515923317114	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000140	ImageJ	ImageJ is Public domain software for processing and analyzing scientific images.	Materials Mechanical Behavior		1.53s	url 66	url 204	ContactingProcess 14	Public domain		url 322	Fiji, ImageJ2	Java			
https://purls.helmholtz-metadaten.de/msekg/174515923317115	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001046	ImageJ2	ImageJ2 is a new version of ImageJ for multidimensional image data, with a focus on scientific imaging. It includes some additional features not available in the original ImageJ.	Materials Thermodynamics		2.5.0	url 67	url 204	ContactingProcess 15	BSD-2		url 322	Fiji, ImageJ	Java, Perl, Shell			
